itemid,title,price,stock_status,page,size,mass,ISBN,original_title,publish_date,publish_company,writer,artist,image_url
103372717,플래시 Vol. 1 : 앞으로,16000,in stock,192,167*257,365,9.78895E+12,원제 : The Flash Vol. 1,2/25/17,시공사(만화),프란시스 마나풀,브라이언 부첼라토,https://image.aladin.co.kr/product/10337/27/cover500/8952777727_1.jpg
103372503,(뉴 52) 저스티스 리그 3 : 아틀란티스의 왕좌,16000,in stock,192,165*260,365,9.78895E+12,원제 : (The New 52) Justice League Vol. 3: Throne Of Atlantis,2/25/17,시공사(만화),제프 존스,"폴 펠레티어, 아이반 라이스, 토니 S. 다니엘",https://image.aladin.co.kr/product/10337/25/cover500/8952777719_1.jpg
102498235,언캐니 엑스맨 : 시아 제국의 흥망,24000,in stock,312,167*257,883,9.78895E+12,원제 : Uncanny X-Men : Rise & Fall Of The Shl'Ar Empire,2/25/17,시공사(만화),에드 브루베이커,"클레이튼 헨리, 빌리 탠",https://image.aladin.co.kr/product/10249/82/cover500/8952777476_1.jpg
102498802,엑스맨 : 데들리 제네시스,16000,in stock,192,167*257,365,9.78895E+12,원제 : X-Men : Deadly Genesis,1/25/17,시공사(만화),에드 브루베이커,"스콧 한나, 트레버 헤어사인",https://image.aladin.co.kr/product/10249/88/cover500/8952777468_1.jpg
101295216,데드풀 Vol. 1,23000,in stock,280,167*257,924,9.78895E+12,원제 : DEADPOOL BY POSEHN & DUGGAN VOL.1,1/25/17,시공사(만화),"제리 더갠, 브라이언 포센","토니 무어, 마이크 호손, 스콧 코블리시",https://image.aladin.co.kr/product/10129/52/cover500/8952777484_1.jpg
101294809,사가 Vol. 2,12000,in stock,152,167*257,459,9.78895E+12,원제 : Saga Volume Two (2013년),1/25/17,시공사(만화),,피오나 스테이플스,https://image.aladin.co.kr/product/10129/48/cover500/8952774779_1.jpg
101294058,사가 Vol. 1,13000,in stock,168,167*257,319,9.78895E+12,원제 : Saga Volume one,1/25/17,시공사(만화),,피오나 스테이플스,https://image.aladin.co.kr/product/10129/40/cover500/8952774760_1.jpg
101293787,(뉴 52) 배트맨 8 : 슈퍼헤비,14000,in stock,160,167*257,474,9.78895E+12,원제 : (The New 52) Batman Vol.8: Superheavy,1/25/17,시공사(만화),,"그렉 카풀로, 프코 플라첸시아, 대니 미키",https://image.aladin.co.kr/product/10129/37/cover500/8952777492_1.jpg
101106033,스파이더맨 / 데드풀 VOL. 1 : 브로맨틱하지 않나요?,12000,in stock,136,167*257,410,9.78895E+12,원제 : Spider-Man/Deadpool Vol.1: ISN'T IT BROMANTIC. (2016년),1/25/17,시공사(만화),조 켈리,에드 맥기네스,https://image.aladin.co.kr/product/10110/60/cover500/8952777654_1.jpg
98908390,아트 오브 마블 : 닥터 스트레인지,39000,out of stock,344,297*247,2050,9.78895E+12,원제 : The Art of Marvel: Doctor Strange,12/25/16,시공사,,,https://image.aladin.co.kr/product/9890/83/cover500/8952777441_1.jpg
98907905,샌드맨 The SandMan : 서곡 디럭스 에디션,20000,out of stock,224,167*257,560,9.78895E+12,원제 : The SandMan: Overture - The Deluxe Edition,12/25/16,시공사(만화),닐 게이먼,"데이브 스튜어트, J. H. 윌리엄스 3세",https://image.aladin.co.kr/product/9890/79/cover500/8952776879_1.jpg
98683799,(뉴 52) 원더 우먼 2 : 기백,12000,in stock,144,167*257,274,9.78895E+12,원제 : (The New 52) Wonder Woman Volume 2 Guts,12/15/16,시공사(만화),브라이언 아자렐로,"클리프 챙, 토니 앳킨스",https://image.aladin.co.kr/product/9868/37/cover500/8952777328_1.jpg
97597916,겟 지로,14000,out of stock,160,167*257,480,9.78895E+12,원제 : Get Jiro!,11/25/16,시공사(만화),"앤서니 보뎅, 조엘 로즈",랭던 포스,https://image.aladin.co.kr/product/9759/79/cover500/8952777298_1.jpg
97597639,스타워즈 Vol.3 : 반란군 요새,12000,out of stock,148,167*257,445,9.78895E+12,원제 : Star Wars VOL.3: Rebel Jail,11/25/16,시공사(만화),"제이슨 아론, 키에론 글렌","레이닐 프랜시스 유, 앙헬 언주에타, 마이크 메이휴",https://image.aladin.co.kr/product/9759/76/cover500/8952776968_1.jpg
97412235,스타워즈 : 베이더 다운,12000,out of stock,144,167*257,435,9.78895E+12,원제 : STAR WARS: VADER DOWN,11/25/16,시공사(만화),"제이슨 아론, 키에론 글렌","마이크 디오다토, 살바도르 라로카",https://image.aladin.co.kr/product/9741/22/cover500/8952776984_1.jpg
97411256,스타워즈 다스 베이더 Vol.3 : 슈토룬 전쟁,12000,out of stock,124,167*257,385,9.78895E+12,원제 : Star Wars: Darth Vader Volume 3 : THE SHU-TORUN WAR,11/25/16,시공사(만화),키에론 글렌,"레이닐 프랜시스 유, 살바도르 라로카",https://image.aladin.co.kr/product/9741/12/cover500/8952776976_1.jpg
96673230,스파이 vs 스파이 : 블랙(& 화이트) 작전,12000,out of stock,288,152*195,374,9.78895E+12,원제 : SPY VS SPY BLACK(AND WHITE) OPS,11/25/16,시공사(만화),,,https://image.aladin.co.kr/product/9667/32/cover500/895277728x_1.jpg
